=== Layer sweep: loc (Q10) ===
method      layer   n       mean       std  per-seed
------------------------------------------------------------------------------
mean           06   3       70.6       0.2  657:70.6, 921:70.8, 969:70.4
mean           12   3       77.1       0.1  657:77.2, 921:77.0, 969:77.1
mean           18   3       80.2       0.8  657:80.0, 921:81.0, 969:79.4
mean           24   3       81.4       0.5  657:80.9, 921:81.8, 969:81.3
mean      Stacked   2       80.0       0.2  657:79.9, 921:80.2
cov            06   3       73.8       1.3  657:72.5, 921:75.0, 969:73.8
cov            12   3       78.6       0.7  657:78.2, 921:79.4, 969:78.2
cov            18   3       81.5       0.3  657:81.6, 921:81.7, 969:81.2
cov            24   3       83.5       0.8  657:84.1, 921:83.9, 969:82.5
cov       Stacked   2       81.4       0.6  657:81.0, 921:81.8
hybrid         06   3       73.8       0.2  657:74.0, 921:73.8, 969:73.5
hybrid         12   3       78.5       0.4  657:78.4, 921:79.0, 969:78.1
hybrid         18   3       80.7       0.2  657:80.5, 921:80.8, 969:80.9
hybrid         24   3       83.6       0.5  657:83.7, 921:84.0, 969:83.0
hybrid    Stacked   2       81.2       0.0  657:81.2, 921:81.3
