layer,method,proj_dim,run_dir,seed,task,test_acc,test_acc_stderr,test_f1,test_f1_stderr,test_mae,test_mcc,test_mcc_stderr,test_mse,test_spearman,test_spearman_stderr
06,cov,48,PoolingFFN_layer06_cov_dc48_loc_seed657_25-05_13-18-31,657,loc,72.45,0.86,0.72,0.0086,,0.6672,0.0103,,,
06,cov,48,PoolingFFN_layer06_cov_dc48_loc_seed921_26-05_12-49-23,921,loc,75.0,0.85,0.7446,0.009,,0.6981,0.0102,,,
06,cov,48,PoolingFFN_layer06_cov_dc48_loc_seed969_27-05_07-56-06,969,loc,73.84,0.81,0.7273,0.0087,,0.6824,0.0097,,,
06,hybrid,48,PoolingFFN_layer06_hybrid_dc48_loc_seed657_25-05_15-04-56,657,loc,73.98,0.82,0.7353,0.0086,,0.6861,0.0098,,,
06,hybrid,48,PoolingFFN_layer06_hybrid_dc48_loc_seed921_26-05_14-29-27,921,loc,73.79,0.84,0.7291,0.009,,0.6824,0.0099,,,
06,hybrid,48,PoolingFFN_layer06_hybrid_dc48_loc_seed969_27-05_08-39-57,969,loc,73.51,0.85,0.7261,0.009,,0.6792,0.0102,,,
06,mean,,PoolingFFN_layer06_mean_dc48_loc_seed657_25-05_10-33-30,657,loc,70.63,0.85,0.6952,0.0089,,0.6447,0.0103,,,
06,mean,,PoolingFFN_layer06_mean_dc48_loc_seed921_26-05_11-13-18,921,loc,70.81,0.87,0.6868,0.0097,,0.6467,0.0101,,,
06,mean,,PoolingFFN_layer06_mean_dc48_loc_seed969_27-05_06-05-30,969,loc,70.42,0.84,0.689,0.009,,0.6418,0.01,,,
12,cov,48,PoolingFFN_layer12_cov_dc48_loc_seed657_25-05_22-16-26,657,loc,78.2,0.8,0.778,0.0083,,0.7373,0.0094,,,
12,cov,48,PoolingFFN_layer12_cov_dc48_loc_seed921_26-05_18-58-14,921,loc,79.36,0.74,0.7896,0.0078,,0.7513,0.0087,,,
12,cov,48,PoolingFFN_layer12_cov_dc48_loc_seed969_27-05_12-42-17,969,loc,78.17,0.86,0.7778,0.009,,0.7371,0.0103,,,
